股票代码,股票简称,平均涨跌幅,涨跌幅标准差,出现次数,累计涨跌幅,起始价,终止价
603078,江化微,0.2101,,1,0.2101,23.56,28.51
001896,豫能控股,0.2096,0.0004,2,0.4193,9.12,10.03
002716,湖南白银,0.2053,,1,0.2053,15.0,18.08
600397,江钨装备,0.1908,,1,0.1908,14.31,17.04
002498,汉缆股份,0.1808,0.0329,3,0.5424,6.77,5.69
601611,中国核建,0.1778,,1,0.1778,16.93,19.94
603926,铁流股份,0.1706,,1,0.1706,22.21,26.0
600676,交运股份,0.1676,0.0582,2,0.3353,8.22,9.03
603618,杭电股份,0.1633,0.0398,3,0.4899,12.02,12.02
002413,雷科防务,0.1566,0.0578,3,0.4698,16.71,16.71
600785,新华百货,0.149,0.0629,3,0.4469,20.7,20.7
600916,中国黄金,0.149,0.1138,4,0.5958,13.5,12.27
002969,嘉美包装,0.1465,0.0257,2,0.2931,18.92,19.31
603598,引力传媒,0.1464,0.0001,2,0.2927,22.62,23.57
601106,中国一重,0.1425,0.0578,3,0.4276,5.95,5.95
600775,南京熊猫,0.141,0.0617,3,0.4231,17.89,17.89
002195,岩山科技,0.1345,0.0652,3,0.4035,10.38,10.38
000751,锌业股份,0.1304,,1,0.1304,6.29,7.11
600637,东方明珠,0.1265,0.1009,3,0.3794,14.65,14.65
002519,银河电子,0.1254,0.1154,5,0.6272,11.47,9.48
601212,白银有色,0.1215,0.1601,7,0.8505,15.19,10.37
002639,雪人集团,0.1188,,1,0.1188,24.16,27.03
002131,利欧股份,0.1178,0.0765,4,0.4714,9.93,6.59
002667,威领股份,0.1152,,1,0.1152,19.36,21.59
000995,皇台酒业,0.1115,0.0873,3,0.3345,19.27,19.27
000506,招金黄金,0.1089,0.143,2,0.2178,23.57,19.48
600266,城建发展,0.1065,0.0998,3,0.3194,6.75,6.75
002506,协鑫集成,0.1053,0.0907,4,0.4211,5.04,3.51
601615,明阳智能,0.1042,0.0845,2,0.2085,23.82,25.2
600058,五矿发展,0.1042,0.0124,2,0.2083,13.94,14.1
002324,普利特,0.1006,0.0983,3,0.3017,23.42,23.42
003042,中农联合,0.1,0.1556,2,0.2,23.1,25.41
002044,美年健康,0.0992,0.1412,3,0.2975,8.15,8.15
002119,康强电子,0.0943,,1,0.0943,21.85,23.91
002342,巨力索具,0.094,0.1072,6,0.564,17.61,13.29
603958,哈森股份,0.0886,,1,0.0886,17.38,18.92
600722,金牛化工,0.0884,,1,0.0884,9.5,10.34
600556,天下秀,0.0849,,1,0.0849,8.6,9.33
600477,杭萧钢构,0.0848,0.1495,3,0.2545,4.36,4.36
002491,通鼎互联,0.081,,1,0.081,8.64,9.34
002774,快意电梯,0.0798,0.1696,4,0.3191,14.95,13.59
002788,鹭燕医药,0.0732,,1,0.0732,24.99,26.82
603716,塞力医疗,0.072,,1,0.072,24.87,26.66
601616,广电电气,0.0715,0.1276,3,0.2145,6.09,6.09
603616,韩建河山,0.0708,0.1722,4,0.2834,9.12,8.29
002115,三维通信,0.0683,0.158,3,0.205,19.59,19.59
002455,百川股份,0.068,0.0986,5,0.3401,14.83,9.37
002623,亚玛顿,0.0615,,1,0.0615,22.78,24.18
603778,国晟科技,0.0604,0.1063,3,0.1812,16.18,21.3
603056,德邦股份,0.0599,0.0718,2,0.1198,18.68,18.86
600776,东方通信,0.0597,0.1499,2,0.1194,24.63,26.1
601399,国机重装,0.0578,,1,0.0578,6.06,6.41
000056,皇庭国际,0.057,,1,0.057,2.28,2.41
600531,豫光金铅,0.0549,0.1934,4,0.2196,24.79,22.54
600986,浙文互联,0.0492,0.1476,2,0.0985,13.26,12.39
600435,北方导航,0.0434,,1,0.0434,19.82,20.68
600868,梅雁吉祥,0.0423,,1,0.0423,4.97,5.18
003018,金富科技,0.042,0.0001,2,0.084,22.59,21.4
002181,粤传媒,0.0415,,1,0.0415,11.09,11.55
601116,三江购物,0.0408,0.1471,2,0.0817,20.88,21.73
603488,展鹏科技,0.0408,0.1047,2,0.0817,11.74,10.67
001210,金房能源,0.0405,,1,0.0405,20.72,21.56
600589,大位科技,0.0384,0.1765,3,0.1152,13.86,13.86
000533,顺钠股份,0.036,0.0383,2,0.0721,11.15,10.78
002165,红宝丽,0.0334,,1,0.0334,9.59,9.91
002624,完美世界,0.033,,1,0.033,21.53,22.24
603968,醋化股份,0.0313,,1,0.0313,15.68,16.17
600869,远东股份,0.0304,0.0467,2,0.0607,10.92,10.56
002465,海格通信,0.0278,0.0534,2,0.0557,24.2,20.31
600084,中信尼雅,0.0275,,1,0.0275,7.28,7.48
000048,京基智农,0.0259,,1,0.0259,18.5,18.98
600337,美克家居,0.0251,0.1696,3,0.0752,4.27,4.27
002440,闰土股份,0.0244,0.0083,2,0.0489,14.53,12.05
002735,王子新材,0.0242,,1,0.0242,19.83,20.31
002766,索菱股份,0.0227,0.0571,2,0.0454,7.33,7.08
002400,省广集团,0.0215,0.1881,3,0.0644,13.81,13.81
002323,雅博股份,0.0199,0.1807,3,0.0596,2.62,2.62
605006,山东玻纤,0.0176,,1,0.0176,10.2,10.38
000593,德龙汇能,0.0167,0.1197,3,0.05,17.71,18.28
603826,坤彩科技,0.0164,,1,0.0164,19.46,19.78
002112,三变科技,0.0161,0.0391,3,0.0483,23.79,19.97
603015,弘讯科技,0.0131,0.1867,3,0.0394,18.82,18.82
002429,兆驰股份,0.0114,,1,0.0114,11.37,11.5
002757,南兴股份,0.0089,0.0,2,0.0178,23.56,21.61
600683,京投发展,0.0087,0.0006,2,0.0174,6.6,6.05
000949,新乡化纤,0.0054,,1,0.0054,7.46,7.5
002218,拓日新能,0.0052,0.137,3,0.0155,6.61,4.9
601015,陕西黑猫,0.0039,,1,0.0039,5.08,5.1
600759,洲际油气,0.0009,0.1951,2,0.0017,5.69,4.84
000670,盈方微,-0.0003,0.0518,2,-0.0005,10.29,9.69
002471,中超控股,-0.0009,0.0103,2,-0.0019,9.47,8.49
002358,森源电气,-0.0034,0.0965,2,-0.0069,7.81,7.56
002809,红墙股份,-0.0045,,1,-0.0045,13.31,13.25
002201,九鼎新材,-0.0057,,1,-0.0057,13.94,13.86
600814,杭州解百,-0.0065,0.1405,2,-0.0129,10.78,10.71
600880,博瑞传播,-0.007,,1,-0.007,7.12,7.07
002099,海翔药业,-0.0073,,1,-0.0073,8.26,8.2
603980,吉华集团,-0.0091,0.1395,2,-0.0183,8.72,8.64
600828,茂业商业,-0.0105,0.0185,2,-0.0209,7.24,7.71
000620,盈新发展,-0.018,,1,-0.018,3.33,3.27
002925,盈趣科技,-0.02,,1,-0.02,20.49,20.08
600230,沧州大化,-0.0215,,1,-0.0215,18.15,17.76
002153,石基信息,-0.0235,,1,-0.0235,16.14,15.76
603861,白云电器,-0.0246,,1,-0.0246,18.28,17.83
603132,金徽股份,-0.0261,0.1378,2,-0.0521,22.18,21.6
002512,达华智能,-0.0262,,1,-0.0262,7.62,7.42
601096,宏盛华源,-0.0264,,1,-0.0264,5.31,5.17
002355,兴民智通,-0.0281,,1,-0.0281,7.48,7.27
002361,神剑股份,-0.0302,,1,-0.0302,15.24,14.78
603466,风语筑,-0.031,,1,-0.031,10.96,10.62
603608,天创时尚,-0.0324,,1,-0.0324,12.05,11.66
002769,普路通,-0.0327,,1,-0.0327,13.75,13.3
001330,博纳影业,-0.0329,,1,-0.0329,12.47,12.06
603305,旭升集团,-0.0347,,1,-0.0347,21.01,20.28
600135,乐凯胶片,-0.0354,,1,-0.0354,12.72,12.27
002279,久其软件,-0.0363,,1,-0.0363,10.48,10.1
000039,中集集团,-0.0377,,1,-0.0377,11.41,10.98
000070,特发信息,-0.0384,0.04,2,-0.0769,19.5,17.55
600884,杉杉股份,-0.0398,,1,-0.0398,15.81,15.18
000503,国新健康,-0.0413,,1,-0.0413,11.61,11.13
000630,铜陵有色,-0.0422,0.2096,2,-0.0844,9.19,8.35
002054,德美化工,-0.0443,,1,-0.0443,11.06,10.57
003039,顺控发展,-0.0485,,1,-0.0485,17.52,16.67
600871,石化油服,-0.0495,,1,-0.0495,3.23,3.07
000720,新能泰山,-0.05,,1,-0.05,4.0,3.8
601388,怡球资源,-0.0503,,1,-0.0503,4.37,4.15
002339,积成电子,-0.0518,,1,-0.0518,11.4,10.81
600481,双良节能,-0.054,,1,-0.054,11.11,10.51
002554,惠博普,-0.0563,,1,-0.0563,3.91,3.69
600215,派斯林,-0.0603,,1,-0.0603,8.46,7.95
002015,协鑫能科,-0.0618,,1,-0.0618,13.27,12.45
600545,卓郎智能,-0.064,,1,-0.064,3.28,3.07
600770,综艺股份,-0.0647,,1,-0.0647,6.8,6.36
000917,电广传媒,-0.0656,,1,-0.0656,13.27,12.4
600370,三房巷,-0.073,,1,-0.073,2.74,2.54
000036,华联控股,-0.0736,,1,-0.0736,6.79,6.29
603138,海量数据,-0.0747,,1,-0.0747,22.62,20.93
000785,居然智家,-0.0748,,1,-0.0748,3.61,3.34
002707,众信旅游,-0.0781,,1,-0.0781,9.09,8.38
002316,亚联发展,-0.0785,0.0962,2,-0.157,6.28,5.65
603017,中衡设计,-0.0808,0.1003,2,-0.1615,14.63,13.17
002951,金时科技,-0.0826,0.1024,2,-0.1652,19.48,17.53
600662,外服控股,-0.0833,0.1042,2,-0.1666,6.88,6.19
002462,嘉事堂,-0.0836,0.1044,2,-0.1672,19.12,17.21
600330,天通股份,-0.085,,1,-0.085,16.94,15.5
600877,电科芯片,-0.0856,,1,-0.0856,22.54,20.61
000516,国际医学,-0.0904,0.1006,2,-0.1809,6.19,5.09
002574,明牌珠宝,-0.0922,0.1162,2,-0.1843,7.69,6.92
000892,欢瑞世纪,-0.0928,0.1281,2,-0.1856,9.87,8.95
600774,汉商集团,-0.0979,,1,-0.0979,11.64,10.5
001202,炬申股份,-0.0979,0.1124,2,-0.1959,22.21,19.08
601992,金隅集团,-0.0987,0.1263,2,-0.1974,2.34,2.11
001376,百通能源,-0.0995,,1,-0.0995,24.52,22.08
603729,龙韵股份,-0.1,0.127,2,-0.2,23.76,21.38
002546,新联电子,-0.103,,1,-0.103,10.0,8.97
002207,准油股份,-0.1047,,1,-0.1047,11.18,10.01
002030,达安基因,-0.1089,,1,-0.1089,7.71,6.87
603095,越剑智能,-0.1106,,1,-0.1106,21.6,19.21
000737,北方铜业,-0.1473,,1,-0.1473,20.57,17.54
002219,新里程,-0.1491,,1,-0.1491,2.75,2.34
002524,光正眼科,-0.1529,,1,-0.1529,5.56,4.71
000078,海王生物,-0.167,,1,-0.167,4.49,3.74
600410,华胜天成,-0.1675,,1,-0.1675,24.42,20.33
002264,新华都,-0.182,,1,-0.182,12.09,9.89
002723,小崧股份,-0.1876,,1,-0.1876,11.62,9.44
002446,盛路通信,-0.1902,,1,-0.1902,14.67,11.88
